flow_duration,total_fwd_packets,total_backward_packets,total_length_fwd_packets,total_length_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_s,flow_packets_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets_s,bwd_packets_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_avg_bytes_bulk,fwd_avg_packets_bulk,fwd_avg_bulk_rate,bwd_avg_bytes_bulk,bwd_avg_packets_bulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label
4827970.879580,10.000000,5.000000,570.547981,582.611795,163.330325,24.834137,46.781489,25.769293,138.661937,7.867922,37.809708,32.649100,604.562520,4.610196,91112.509209,1499.041891,125457.452003,1169.606372,92619.428906,23076.854875,29230.398032,73314.031717,852.988952,74371.228549,23765.644478,20745.940651,43609.751645,346.635444,0.000000,0.000000,0.000000,0.000000,119.000000,79.000000,2.654300,1.147176,9.833454,36.780038,24.519581,27.400811,1133.249602,1.000000,1.000000,0.000000,1.000000,11.000000,0.000000,0.000000,0.000000,0.994765,23.971433,38.988076,35.946166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,235.349571,6.000000,416.881547,20003.000000,39815.000000,14.000000,20.000000,66448.097905,57016.120148,149851.472462,12054.588783,103659.693682,95366.142346,121403.835270,21612.775000,BENIGN
5841575.371578,17.000000,6.000000,563.263989,300.793410,39.069063,6.336527,52.425861,57.854189,79.162712,1.741720,64.382162,25.960950,1414.320436,4.156601,64713.356139,1711.570737,80094.890569,493.016563,106898.512869,29222.838232,16245.732871,44816.529113,500.408037,97646.552600,18341.295988,15619.734126,88786.600062,659.311989,0.000000,1.000000,0.000000,0.000000,181.000000,272.000000,1.636309,1.951544,14.796286,94.457633,52.389890,22.032112,1403.494432,1.000000,2.000000,0.000000,1.000000,14.000000,0.000000,0.000000,0.000000,1.236955,89.114395,95.314077,17.405343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,527.183672,6.000000,390.399670,42156.000000,55895.000000,9.000000,20.000000,27351.639741,8985.825381,50899.315988,12567.775683,68826.434570,58353.351665,176291.796803,31682.399131,BENIGN
8068229.349491,10.000000,18.000000,260.656156,572.770997,92.424894,25.363506,42.333673,26.215982,17.123765,21.214553,43.360029,23.472323,627.770726,6.617990,36414.588238,24369.713964,98989.880070,343.015975,53705.342201,12652.270909,11790.391196,154006.947232,837.978120,61356.571275,11815.992931,16134.954357,72424.424501,508.145781,0.000000,0.000000,0.000000,0.000000,220.000000,183.000000,1.753415,2.894027,11.008555,148.106441,51.607399,23.654723,578.182011,1.000000,2.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000,0.843650,37.103708,55.028801,47.201283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,205.480928,10.000000,605.826058,15696.000000,53166.000000,10.000000,20.000000,52323.949074,46164.005235,74020.010692,9573.595788,81950.194895,74425.340912,107087.410124,15584.676604,BENIGN
3710118.354685,10.000000,10.000000,533.418749,237.925189,118.844322,13.765079,5.632086,33.428858,107.186206,24.943878,71.475084,32.089491,783.193555,5.274931,54388.150889,50508.160340,70990.156867,991.810854,55986.926683,4601.900291,5073.838506,80002.454480,483.248826,52872.198980,14730.444788,16276.430312,82557.757978,503.674623,1.000000,0.000000,0.000000,0.000000,141.000000,87.000000,2.807710,1.616857,14.388087,63.403944,59.576966,28.379225,366.256347,0.000000,1.000000,0.000000,2.000000,9.000000,0.000000,0.000000,0.000000,1.998027,35.408606,73.220127,66.717410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,580.128758,0.000000,452.881550,58384.000000,51286.000000,4.000000,20.000000,42440.308255,47163.767188,138463.218974,13490.315021,80618.217879,69651.541369,203932.330119,25165.839595,BENIGN
5588632.653142,2.000000,5.000000,344.241639,473.488079,88.986213,25.229867,70.514228,35.143183,143.480760,18.499335,75.022320,38.034091,1783.097857,6.822319,33460.912841,40977.082641,172358.630837,164.235759,85031.728837,26745.140158,14247.180796,60652.016002,477.602723,105578.343201,17695.807104,3657.058749,74788.853091,489.702719,1.000000,1.000000,0.000000,0.000000,209.000000,247.000000,3.966546,1.124320,23.827205,110.661881,31.561142,35.507336,882.763936,0.000000,2.000000,0.000000,1.000000,9.000000,0.000000,0.000000,0.000000,0.628994,40.366103,79.804598,55.563691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,549.674387,9.000000,550.623005,10868.000000,37777.000000,10.000000,20.000000,61665.831362,75509.066483,43086.482839,23889.153801,115512.922109,38793.791227,157324.965315,23204.576471,BENIGN
49518374.414041,97.000000,7.000000,322.776268,273.426220,150.073236,22.118482,72.367952,36.452253,80.508880,24.696086,58.990562,20.442518,1678.784714,0.156027,20771.289459,1032.785910,75024.301293,1161.965248,85503.153185,2272.753378,103.620828,102210.431887,299.783995,39030.353013,21553.364949,10822.915734,115741.035938,269.408337,0.000000,1.000000,0.000000,0.000000,174.000000,190.000000,0.068896,1.362085,11.385390,90.505247,60.684963,40.239293,1473.375233,0.000000,2.000000,0.000000,44.000000,13.000000,0.000000,0.000000,0.000000,1.510476,37.545060,46.305559,58.338614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,344.916209,10.000000,196.685724,63142.000000,39300.000000,10.000000,20.000000,70537.037716,29936.649092,63015.359050,9957.554297,136629.355471,83821.428179,197995.027956,15021.758825,DoS GoldenEye
5162210.900257,3.000000,6.000000,516.592061,446.219083,56.442528,26.956642,49.801497,29.250150,63.612710,26.458231,36.482902,0.938232,959.257194,7.886404,32135.622050,51045.656668,55254.504159,645.810142,55962.146538,35023.777618,61.420271,86419.063118,327.588984,45959.698319,25294.516434,14340.154652,75856.049723,462.200493,1.000000,0.000000,0.000000,0.000000,245.000000,137.000000,2.905210,2.169369,28.974302,90.175105,29.707341,54.540582,1029.099508,1.000000,2.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000,0.493818,45.913219,32.955034,28.048823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,388.379070,11.000000,550.254053,60151.000000,35155.000000,9.000000,20.000000,37040.960850,20548.882783,49167.425512,14737.911639,70883.470885,70217.096683,110999.395232,30734.777781,BENIGN
3925654.494512,13.000000,12.000000,571.351850,290.773312,63.899569,10.898231,73.076834,48.229259,106.436632,21.764672,40.613124,29.499380,375.103930,3.537852,58421.006421,47984.828394,123812.526585,639.688591,176238.581995,20598.760460,4651.209883,60006.501019,281.336610,61252.451776,31867.500375,29899.831870,47135.586084,291.320738,1.000000,0.000000,0.000000,0.000000,238.000000,243.000000,0.582365,0.146554,21.180746,90.027295,58.033911,32.397757,335.822921,0.000000,2.000000,0.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.699165,45.076268,51.699790,58.961699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,617.210804,8.000000,320.223120,64536.000000,14781.000000,14.000000,20.000000,63432.623210,64970.400092,100567.789412,2694.140749,64507.045529,43323.786163,202123.308766,12395.934608,BENIGN
5534664.839367,5.000000,7.000000,640.749776,594.056571,129.425878,14.669950,44.363798,35.750484,29.471270,19.756225,43.137617,33.691232,348.683412,6.509651,32423.885725,24428.936984,69308.707879,1093.516950,122348.759309,40158.327291,9228.855702,132480.311732,222.661019,57230.903430,12421.081486,5144.943063,49018.492851,660.477184,0.000000,1.000000,0.000000,0.000000,194.000000,216.000000,2.264426,0.051418,17.587564,16.942155,58.422238,40.507485,726.694251,0.000000,2.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000,0.354501,90.070811,48.869127,19.898560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,659.341683,3.000000,325.616165,58150.000000,13428.000000,7.000000,20.000000,38256.332111,65961.000528,57330.717100,6143.045109,129042.435708,79291.286084,267234.134080,30359.876471,BENIGN
50166187.991490,90.000000,10.000000,480.501775,441.891762,50.951917,18.438294,37.974531,34.667512,80.777897,25.259680,52.537765,26.388087,1396.140879,0.509766,75183.061184,64302.206022,84130.075787,1395.992981,121318.310769,28131.309883,8376.787165,104664.386184,641.043371,84041.739084,13781.424458,21085.807509,78272.950857,295.842219,1.000000,0.000000,0.000000,0.000000,276.000000,161.000000,2.403902,2.613190,31.298083,107.899986,44.664315,37.166791,1358.175859,1.000000,1.000000,0.000000,86.000000,13.000000,0.000000,0.000000,0.000000,0.677227,50.586525,56.589922,7.970526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,495.034286,8.000000,120.402347,15365.000000,8965.000000,7.000000,20.000000,26022.596548,35292.699101,82960.510807,12284.547174,82313.688334,84496.652783,129887.989351,20713.339347,DoS GoldenEye
